Date,Open,High,Low,Close,DS,ADX 14 14,Wilder's RSI 14,Stochastics 12 %K 3
12/2/05 12:00:00 AM -08:00,47.01,47.15,45.76,46.13,-2.290076336,,,
12/9/05 12:00:00 AM -08:00,45.93,46.73,45.42,45.9,60.36585366,7.142857,,
12/16/05 12:00:00 AM -08:00,45.98,47.25,45.61,46.97,35.61643836,8.378686,,
12/23/05 12:00:00 AM -08:00,46.68,47.05,46.32,46.94,-32.08955224,9.526242,,
12/30/05 12:00:00 AM -08:00,46.58,47.25,45.91,46.15,-32.11009174,10.32325,,
1/6/06 12:00:00 AM -08:00,46.92,47.24,46.15,46.57,-71.31782946,11.06333,,
1/13/06 12:00:00 AM -08:00,46.72,46.97,45.68,45.8,-70.76023392,13.59347,,
1/20/06 12:00:00 AM -08:00,45.4,45.88,44.17,44.19,77.84431138,17.96696,,
1/27/06 12:00:00 AM -08:00,43.5,45.16,43.49,44.8,-63.84615385,22.39553,,
2/3/06 12:00:00 AM -08:00,44.75,45.35,42.75,43.09,64.19753086,26.78423,,
2/10/06 12:00:00 AM -08:00,43.4,44.05,43.24,43.92,47.52475248,30.85944,,
2/17/06 12:00:00 AM -08:00,43.7,45.32,43.3,44.66,68.70748299,30.99649,,
2/24/06 12:00:00 AM -08:00,44.71,45.89,44.42,45.72,-56.52173913,30.00125,,
3/3/06 12:00:00 AM -08:00,45.84,46.05,44.9,45.19,77.98165138,28.78827,,54.22222
3/10/06 12:00:00 AM -08:00,45.1,46,44.91,45.95,78.99159664,27.66193,,63.77778
3/17/06 12:00:00 AM -08:00,45.96,46.98,45.79,46.9,25.67567568,26.34668,53.17919,72.51852
3/24/06 12:00:00 AM -08:00,46.71,47.14,46.4,46.9,-80.12820513,25.34243,53.17919,85.25367
3/31/06 12:00:00 AM -08:00,46.79,47.01,45.45,45.54,-11.70212766,24.06894,50.04107,82.73448
4/7/06 12:00:00 AM -07:00,45.85,46.6,45.66,45.74,-26.98412698,22.88643,50.50364,74.69685
4/13/06 12:00:00 AM -07:00,45.9,46.08,45.45,45.73,54.43786982,22.07411,50.47847,66.51483
4/21/06 12:00:00 AM -07:00,45.95,46.95,45.26,46.87,93.88379205,20.96342,53.33341,76.61353
4/28/06 12:00:00 AM -07:00,46.85,49.98,46.71,49.92,45,22.45328,59.98081,86.94699
5/5/06 12:00:00 AM -07:00,49.84,50.5,49.1,50.47,-76.33587786,24.10781,61.05805,97.51426
5/12/06 12:00:00 AM -07:00,50.2,50.44,49.13,49.2,-40.55555556,25.64417,57.2274,92.43719
5/19/06 12:00:00 AM -07:00,49,49.8,48,48.27,69.375,25.60217,54.52951,79.46012
5/26/06 12:00:00 AM -07:00,48.27,49.61,48.01,49.38,5.22875817,25.56316,57.12743,72.92042
6/2/06 12:00:00 AM -07:00,49.18,49.43,47.9,49.26,-28.27586207,25.38679,56.74993,72.15955
6/9/06 12:00:00 AM -07:00,49.2,49.48,48.03,48.79,-43.80952381,25.26489,55.21112,74.55551
6/16/06 12:00:00 AM -07:00,48.8,49.01,45.86,47.42,-55.91397849,24.08934,50.88021,61.64122
6/23/06 12:00:00 AM -07:00,47.93,47.93,47,47.41,45.45454545,22.99776,50.84886,49.87278
6/30/06 12:00:00 AM -07:00,47.35,48.81,47.16,48.1,53.98230088,21.58055,53.001,45.48346
7/7/06 12:00:00 AM -07:00,48.19,49.31,48.18,48.8,-48.21428571,20.70063,55.14668,54.26209
7/14/06 12:00:00 AM -07:00,49.12,49.27,47.59,48.31,82.18623482,19.30474,53.31191,58.18582
7/21/06 12:00:00 AM -07:00,48.11,50.26,47.79,50.14,85.79545455,18.84294,58.82211,70.86679
7/28/06 12:00:00 AM -07:00,50.15,51.9,50.14,51.66,40.71856287,19.4982,62.75414,80.35652
8/4/06 12:00:00 AM -07:00,51.64,52.75,51.08,52.32,-40.4040404,20.5621,64.34615,94.00896
8/11/06 12:00:00 AM -07:00,52.2,52.68,50.7,51.4,60.13513514,21.15737,60.46636,90.06398
8/18/06 12:00:00 AM -07:00,51.6,52.5,51.02,52.49,-27.05882353,21.71012,63.29051,90.13064
8/25/06 12:00:00 AM -07:00,52.36,52.71,51.86,52.13,-42.20183486,22.35312,61.72223,89.21144
9/1/06 12:00:00 AM -07:00,52.12,52.39,51.3,51.66,5.633802817,22.31206,59.64428,90.46929
9/8/06 12:00:00 AM -07:00,51.62,51.91,51.2,51.66,29.16666667,22.16109,57.55749,85.4083
9/15/06 12:00:00 AM -07:00,51.1,52,50.8,51.45,71.23287671,21.56648,56.60455,80.65588
9/22/06 12:00:00 AM -07:00,51.39,52.72,51.26,52.43,57.82312925,21.58703,59.93796,83.86205
9/29/06 12:00:00 AM -07:00,52.72,54,52.53,53.57,45.22292994,22.45015,63.4547,87.94479
10/6/06 12:00:00 AM -07:00,53.53,54.87,53.3,54.24,31,23.72375,65.37829,92.73064
10/13/06 12:00:00 AM -07:00,54.08,54.65,53.65,54.39,-42.5,24.90638,65.81215,91.41516
10/20/06 12:00:00 AM -07:00,54.3,54.35,52.75,53.62,39.62264151,24.93448,61.54827,83.65924
10/27/06 12:00:00 AM -07:00,53.28,54.18,53.12,53.7,-15.88785047,24.96058,61.82502,77.27282
11/3/06 12:00:00 AM -08:00,53.6,54.29,53.22,53.43,99.09090909,25.06438,60.24902,68.86188
11/10/06 12:00:00 AM -08:00,53.68,54.77,53.67,54.77,28.57142857,25.50497,65.01543,78.0349
11/17/06 12:00:00 AM -08:00,54.57,55.05,54.07,54.85,-35.80246914,26.10817,65.28307,85.81878
11/24/06 12:00:00 AM -08:00,54.85,55.08,54.27,54.56,-63.0952381,26.6897,63.38991,93.56253
12/1/06 12:00:00 AM -08:00,54.56,54.69,53.01,53.5,-49.12280702,25.59648,56.89521,82.07622
12/8/06 12:00:00 AM -08:00,52.5,53.03,51.32,51.66,88.48484848,24.52582,47.74974,53.80193
12/15/06 12:00:00 AM -08:00,51.86,53.48,51.83,53.32,-12.37113402,23.1083,54.80757,42.24893
12/22/06 12:00:00 AM -08:00,53.47,54.01,53.04,53.35,-1.25,21.59922,54.92606,39.21733
12/29/06 12:00:00 AM -08:00,53.4,54.05,53.25,53.39,-13.44537815,20.23396,55.09513,54.07797
1/5/07 12:00:00 AM -08:00,53.4,54.18,52.99,53.24,-8.791208791,18.86565,54.27303,53.36877
1/12/07 12:00:00 AM -08:00,53.46,53.71,52.8,53.38,23.21428571,17.78326,54.94872,53.63475
1/19/07 12:00:00 AM -08:00,53.46,53.71,53.15,53.59,-68.6695279,16.77819,55.99901,55.4078
1/26/07 12:00:00 AM -08:00,53.64,54.05,51.72,52.04,41.43646409,17.1422,47.24413,44.7695
2/2/07 12:00:00 AM -08:00,51.99,53.16,51.35,52.74,22.12389381,17.75887,50.97203,39.09576
2/9/07 12:00:00 AM -08:00,52.74,53.5,52.37,52.99,69.10569106,17.90845,52.26927,33.77662
2/16/07 12:00:00 AM -08:00,53.2,54.21,52.98,54.05,-72.6618705,17.22759,57.41431,54.39661
2/23/07 12:00:00 AM -08:00,53.87,54.17,52.78,52.86,-74.21686747,16.7801,50.79466,59.57036
3/2/07 12:00:00 AM -08:00,53.09,53.15,49,50.01,76.27118644,18.68526,39.15201,51.22731
3/9/07 12:00:00 AM -08:00,49.6,51.33,49.56,50.95,-47.16312057,20.45434,43.73297,36.70035
3/16/07 12:00:00 AM -08:00,50.95,51.18,48.36,49.62,67.74193548,22.57544,39.23244,26.11742
3/23/07 12:00:00 AM -08:00,49.8,52.14,49.35,51.69,-39.53488372,23.55201,48.1721,38.62984
