Date,Open,High,Low,Close,DS,ADX 14 14,Wilder's RSI 14,Stochastics 12 %K 3
12/2/05 12:00:00 AM -08:00,36.2,36.23,35.26,35.5,13.25301205,,,
12/9/05 12:00:00 AM -08:00,35.42,36.1,35.27,35.53,43.95604396,3.571429,,
12/16/05 12:00:00 AM -08:00,35.66,36.26,35.35,36.06,-53.7037037,10.45918,,
12/23/05 12:00:00 AM -08:00,36,36.25,35.17,35.42,-80,10.39534,,
12/30/05 12:00:00 AM -08:00,35.57,35.6,34.95,35.05,50.68493151,13.0424,,
1/6/06 12:00:00 AM -08:00,35.1,35.53,34.8,35.47,-40,16.38338,,
1/13/06 12:00:00 AM -08:00,35.4,35.55,34.8,35.1,-93.77593361,19.11269,,
1/20/06 12:00:00 AM -08:00,35.63,35.63,33.22,33.37,-56.8627451,24.03235,,
1/27/06 12:00:00 AM -08:00,33.53,33.67,32.65,32.95,-7.575757576,28.79128,,
2/3/06 12:00:00 AM -08:00,32.9,33.29,32.63,32.85,37.06896552,33.21585,,
2/10/06 12:00:00 AM -08:00,32.85,33.37,32.21,33.28,71.92982456,37.42926,,
2/17/06 12:00:00 AM -08:00,33.2,33.61,33.04,33.61,-64.38356164,40.12173,,
2/24/06 12:00:00 AM -08:00,33.61,33.75,33.02,33.14,-20.77922078,41.96053,,
3/3/06 12:00:00 AM -08:00,33.22,33.35,32.58,33.06,80.82191781,44.03807,,26.17288
3/10/06 12:00:00 AM -08:00,33.06,33.68,32.95,33.65,63.90977444,44.63294,,26.53144
3/17/06 12:00:00 AM -08:00,33.66,34.76,33.43,34.51,-72.83950617,42.16054,43.28358,41.29424
3/24/06 12:00:00 AM -08:00,34.54,34.7,33.89,33.95,60.26490066,39.86474,40.00966,51.25741
3/31/06 12:00:00 AM -08:00,33.87,35,33.49,34.78,-77.55102041,38.41838,46.47215,64.42492
4/7/06 12:00:00 AM -07:00,34.79,34.99,34.01,34.03,-18.47826087,37.07534,42.0627,59.74657
4/13/06 12:00:00 AM -07:00,34.06,34.53,33.61,33.89,16.8,36.46023,41.27541,62.85918
4/21/06 12:00:00 AM -07:00,33.76,34.32,33.07,33.97,79.59183673,36.59397,41.94413,58.83796
4/28/06 12:00:00 AM -07:00,33.81,34.78,33.8,34.59,46.42857143,35.60815,46.98277,69.53407
5/5/06 12:00:00 AM -07:00,34.64,35.22,34.1,35.16,-73.87387387,33.78305,51.17795,82.03813
5/12/06 12:00:00 AM -07:00,35.1,35.24,34.13,34.28,6.18556701,32.04859,45.22774,82.31385
5/19/06 12:00:00 AM -07:00,34.1,34.92,33.95,34.16,33.73493976,30.73975,44.4685,73.67844
5/26/06 12:00:00 AM -07:00,34.05,34.53,33.7,34.33,38.0952381,29.92654,45.85523,61.19004
6/2/06 12:00:00 AM -07:00,34.34,34.81,33.97,34.66,-48,28.54935,48.54152,64.31076
6/9/06 12:00:00 AM -07:00,34.55,34.92,33.92,34.07,-35.82089552,27.03385,44.30887,59.87226
6/16/06 12:00:00 AM -07:00,34.17,34.27,33.6,33.93,-94.04761905,26.19434,43.34309,52.99535
6/23/06 12:00:00 AM -07:00,33.95,33.95,33.11,33.16,-37.28813559,26.16463,38.38718,29.9539
6/30/06 12:00:00 AM -07:00,33.18,33.37,32.78,32.96,37.73584906,26.57421,37.19747,17.03196
7/7/06 12:00:00 AM -07:00,33.1,33.62,33.09,33.3,-85,26.36067,40.56954,10.86758
7/14/06 12:00:00 AM -07:00,33.3,33.46,32.06,32.11,17.70833333,27.3553,33.74097,10.0092
7/21/06 12:00:00 AM -07:00,32.08,33.04,32.08,32.25,57.44680851,28.27888,35.12446,9.561769
7/28/06 12:00:00 AM -07:00,32.48,33.23,32.29,33.02,0,28.68891,42.26482,12.57858
8/4/06 12:00:00 AM -07:00,32.8,32.99,32.42,32.8,-28.57142857,29.06965,40.88038,20.67918
8/11/06 12:00:00 AM -07:00,32.68,32.83,32.2,32.5,94.16058394,29.68989,39.00416,23.81577
8/18/06 12:00:00 AM -07:00,32.71,34,32.63,34,-27.11864407,27.85738,51.09103,36.36362
8/25/06 12:00:00 AM -07:00,34,34.19,33.6,33.84,59.45945946,25.88441,49.95393,48.48486
9/1/06 12:00:00 AM -07:00,33.7,34.44,33.7,34.14,-21.875,24.44409,52.10629,72.48832
9/8/06 12:00:00 AM -07:00,34.08,34.15,33.83,34.01,80.64516129,23.10664,51.08107,77.1885
9/15/06 12:00:00 AM -07:00,33.85,35,33.76,34.85,-30.48780488,23.06441,56.97213,88.0752
9/22/06 12:00:00 AM -07:00,34.65,35.07,34.25,34.4,73.48484848,23.11127,53.2711,84.85719
9/29/06 12:00:00 AM -07:00,34.33,35.65,34.33,35.3,61.66666667,23.81881,59.00683,87.62981
10/6/06 12:00:00 AM -07:00,35.4,36.48,35.28,36.14,-17.20430108,25.23234,63.5089,86.75475
10/13/06 12:00:00 AM -07:00,36.14,36.4,35.47,35.98,-37.14285714,26.5449,62.10969,90.28037
10/20/06 12:00:00 AM -07:00,35.73,35.84,35.14,35.47,-11.29032258,27.06663,57.7427,85.66412
10/27/06 12:00:00 AM -07:00,35.28,35.79,35.17,35.21,-56.96202532,27.55109,55.59654,78.34892
11/3/06 12:00:00 AM -08:00,35.22,35.41,34.62,34.77,17.64705882,26.89091,52.06951,67.43781
11/10/06 12:00:00 AM -08:00,35.02,35.75,34.9,35.17,88.99082569,26.69656,54.87233,60.14179
11/17/06 12:00:00 AM -08:00,35.28,36.27,35.18,36.25,-81.3559322,27.08852,61.43044,67.27497
11/24/06 12:00:00 AM -08:00,36.17,36.28,35.69,35.69,-36.70886076,27.46306,56.81957,72.39879
12/1/06 12:00:00 AM -08:00,35.57,35.75,34.96,35.28,-32,26.42577,53.64484,72.85495
12/8/06 12:00:00 AM -08:00,35.43,35.5,35,35.27,86.17886179,25.46257,53.56624,57.52605
12/15/06 12:00:00 AM -08:00,35.24,37.51,35.05,37.36,11.11111111,26.55043,65.08321,65.63512
12/22/06 12:00:00 AM -08:00,37.45,38.49,37.41,37.57,-44.82758621,28.16797,65.99583,72.41679
12/29/06 12:00:00 AM -08:00,37.6,38.03,37.16,37.21,17.85714286,29.26612,62.9579,79.47849
