Date,Open,High,Low,Close,DS,ADX 14 14,Wilder's RSI 14,Stochastics 12 %K 3
12/2/05 12:00:00 AM -08:00,42.43,42.44,41.09,41.67,-45.78313253,,,
12/9/05 12:00:00 AM -08:00,41.4,41.75,40.92,41.02,76.70454545,7.142857,,
12/16/05 12:00:00 AM -08:00,41.15,42.79,41.03,42.5,-54.19847328,11.89288,,
12/23/05 12:00:00 AM -08:00,42.3,42.45,41.14,41.59,-79.22077922,16.30361,,
12/30/05 12:00:00 AM -08:00,41.7,41.96,40.42,40.48,-0.595238095,15.3046,,
1/6/06 12:00:00 AM -08:00,40.39,41.45,39.77,40.38,37.62711864,16.13156,,
1/13/06 12:00:00 AM -08:00,40.8,43.2,40.25,41.91,-66.83417085,17.16277,,
1/20/06 12:00:00 AM -08:00,41.5,42.11,40.12,40.17,-37.38317757,17.7943,,
1/27/06 12:00:00 AM -08:00,40.4,40.72,39.65,40,6.849315068,17.3025,,
2/3/06 12:00:00 AM -08:00,39.72,40.86,39.4,39.82,-36.18421053,16.33709,,
2/10/06 12:00:00 AM -08:00,39.77,40.02,38.5,39.22,96.92832765,16.37743,,
2/17/06 12:00:00 AM -08:00,39.02,41.95,39.02,41.86,-70.6185567,16.63258,,
2/24/06 12:00:00 AM -08:00,43,43,41.06,41.63,29.23076923,17.76091,,
3/3/06 12:00:00 AM -08:00,41.82,42.8,41.5,42.2,-47.89473684,18.80865,,72.26951
3/10/06 12:00:00 AM -08:00,42.16,42.18,40.28,41.25,84.25925926,18.13936,,67.94326
3/17/06 12:00:00 AM -08:00,41.08,43.01,40.85,42.9,32,18.24781,54.23847,76.95036
3/24/06 12:00:00 AM -08:00,42.72,43.95,42.7,43.12,-48.87218045,19.04277,54.97366,78.96609
3/31/06 12:00:00 AM -08:00,42.95,43.55,42.22,42.3,-25.68807339,19.20451,51.64327,82.70413
4/7/06 12:00:00 AM -07:00,42.38,42.93,41.84,42.1,-60.37735849,18.91715,50.83436,73.51678
4/13/06 12:00:00 AM -07:00,42.08,42.21,40.62,41.12,-51.72413793,17.70442,46.95345,61.28437
4/21/06 12:00:00 AM -07:00,41.03,41.45,40,40.28,-46.55172414,17.10524,43.86239,48.92963
4/28/06 12:00:00 AM -07:00,40.47,40.66,39.5,39.93,79.72027972,16.94611,42.60387,35.65747
5/5/06 12:00:00 AM -07:00,40.15,41.48,40.05,41.29,-58.97435897,15.99642,48.75654,34.98123
5/12/06 12:00:00 AM -07:00,41.15,41.61,39.66,40,-31.5625,15.44264,43.94458,27.83971
5/19/06 12:00:00 AM -07:00,39.95,40.5,37.3,38.94,11.25827815,16.48187,40.41493,27.31408
5/26/06 12:00:00 AM -07:00,38.5,39.09,37.58,38.67,-22.80701754,17.44688,39.54367,18.83302
6/2/06 12:00:00 AM -07:00,38.26,38.75,37.61,38,-50.95541401,18.34295,37.38965,18.59648
6/9/06 12:00:00 AM -07:00,37.75,38.1,36.53,36.95,0.609756098,19.77164,34.2417,12.26274
6/16/06 12:00:00 AM -07:00,36.9,37.68,36.04,36.91,-50.50505051,21.34088,34.12383,9.25709
6/23/06 12:00:00 AM -07:00,36.91,37.23,36.24,36.41,-40.17094017,22.79802,32.61266,7.538344
6/30/06 12:00:00 AM -07:00,36.26,36.8,35.63,35.79,-70,24.45765,30.79171,6.46208
7/7/06 12:00:00 AM -07:00,35.86,35.98,35.28,35.37,-67.24137931,26.16658,29.58653,3.0745
7/14/06 12:00:00 AM -07:00,35.4,35.57,33.25,33.84,-3.47826087,28.54175,25.64831,3.636943
7/21/06 12:00:00 AM -07:00,33.93,35.15,32.85,33.85,31.03448276,30.87307,25.7179,6.631581
7/28/06 12:00:00 AM -07:00,34.14,35.34,33.89,34.59,7.058823529,32.78782,30.87433,12.77866
8/4/06 12:00:00 AM -07:00,34.59,35.22,33.52,34.71,-79.12087912,34.69749,31.70227,18.53076
8/11/06 12:00:00 AM -07:00,34.71,34.89,33.07,33.27,70.35175879,36.62682,27.45295,16.96918
8/18/06 12:00:00 AM -07:00,33.37,35.1,33.11,34.77,-50.75757576,38.11327,36.93556,21.19564
8/25/06 12:00:00 AM -07:00,34.15,34.4,33.08,33.48,83.21167883,39.50585,32.94707,17.09107
9/1/06 12:00:00 AM -07:00,33.5,34.87,33.5,34.64,-31.62393162,40.07942,39.29512,27.20082
9/8/06 12:00:00 AM -07:00,34.65,34.92,33.75,34.28,85.2173913,40.53542,38.0899,27.23616
9/15/06 12:00:00 AM -07:00,34.28,37.65,34.2,37.22,-37.76223776,37.82619,51.24209,53.58337
9/22/06 12:00:00 AM -07:00,36.5,36.83,35.4,35.96,20.94594595,35.31048,46.66647,62.82724
9/29/06 12:00:00 AM -07:00,35.96,37.15,35.67,36.27,57.8313253,32.88881,47.89914,75.69444
10/6/06 12:00:00 AM -07:00,36.18,37.64,35.98,37.14,5.325443787,31.06684,51.30091,75.13886
10/13/06 12:00:00 AM -07:00,36.81,38.24,36.55,36.9,-42.59259259,29.86451,50.32476,78.2354
10/20/06 12:00:00 AM -07:00,36.45,36.63,35.55,35.99,72.4137931,27.79147,46.69654,73.31197
10/27/06 12:00:00 AM -07:00,35.81,37.54,35.8,37.07,38.0952381,26.59639,51.19385,69.31012
11/3/06 12:00:00 AM -08:00,36.88,37.64,36.8,37.2,3.96039604,25.56321,51.72187,71.23135
11/10/06 12:00:00 AM -08:00,36.6,37.49,36.48,36.64,60.71428571,24.28452,49.25006,75.40218
11/17/06 12:00:00 AM -08:00,36.75,38.29,35.77,38.28,-35.96491228,23.73647,55.89736,82.87611
11/24/06 12:00:00 AM -08:00,38.13,38.85,37.71,37.72,29.29292929,23.63313,53.32875,82.20885
12/1/06 12:00:00 AM -08:00,38.1,39.96,36.99,38.97,5.882352941,24.2416,57.97134,86.81564
12/8/06 12:00:00 AM -08:00,38.7,40.11,38.41,38.8,49.7716895,24.89449,57.13887,77.61417
12/15/06 12:00:00 AM -08:00,38.8,40.37,38.18,39.89,-71.51515152,25.65654,61.00539,81.68028
12/22/06 12:00:00 AM -08:00,40.07,40.3,38.65,38.89,90.58823529,26.36416,56.01305,77.17431
12/29/06 12:00:00 AM -08:00,38.62,40.29,38.59,40.16,-71.22641509,26.93712,60.4407,84.9931
1/5/07 12:00:00 AM -08:00,41.3,41.84,39.72,39.79,12.97709924,28.38134,58.59034,77.4488
1/12/07 12:00:00 AM -08:00,39.94,40.37,39.06,40.11,51.88679245,28.86115,59.73836,78.18365
1/19/07 12:00:00 AM -08:00,40,40.98,39.92,40.55,-62.60869565,29.65625,61.32602,72.5519
1/26/07 12:00:00 AM -08:00,40.66,40.79,39.64,39.94,39.55223881,30.03522,57.91622,72.98186
2/2/07 12:00:00 AM -08:00,40.3,41.18,39.84,40.83,35.86956522,30.62473,61.29741,76.93575
2/9/07 12:00:00 AM -08:00,40.67,41.46,40.54,41,-21.68674699,31.33981,61.92665,78.24657
2/16/07 12:00:00 AM -08:00,41.62,42.01,41.18,41.44,19.13043478,32.31962,63.57723,84.89555
2/23/07 12:00:00 AM -08:00,40.74,41.8,40.65,40.96,-85.04273504,32.48608,60.49604,81.30356
3/2/07 12:00:00 AM -08:00,41,41,38.66,39.01,-10.38961039,30.4779,49.91304,60.96709
3/9/07 12:00:00 AM -08:00,38.75,39.2,38.43,38.67,-39.64757709,28.41018,48.32563,33.65323
3/16/07 12:00:00 AM -08:00,38.41,38.77,36.5,37.51,36.53846154,27.70362,43.26949,15.56837
3/23/07 12:00:00 AM -08:00,37.65,38.92,37.36,38.22,-73.05699482,26.90989,46.9295,18.75005
3/30/07 12:00:00 AM -08:00,38.15,38.28,36.35,36.74,81.3253012,26.80116,40.99263,18.81227
4/5/07 12:00:00 AM -07:00,36.67,38.26,36.6,38.02,-36.84210526,26.70021,47.21242,22.53728
