Date,Open,High,Low,Close,DS,ADX 14 14,Wilder's RSI 14,Stochastics 12 %K 3
12/2/05 12:00:00 AM -08:00,29.65,30.13,29.11,29.23,58.4,,,
12/9/05 12:00:00 AM -08:00,29.19,30.25,29,29.92,-74.48275862,7.142857,,
12/16/05 12:00:00 AM -08:00,30,30.12,28.67,28.92,-6.779661017,10.16939,,
12/23/05 12:00:00 AM -08:00,28.81,29.19,28.6,28.77,-38.46153846,13.50574,,
12/30/05 12:00:00 AM -08:00,28.88,29,28.35,28.63,50,17.71075,,
1/6/06 12:00:00 AM -08:00,29.28,30.29,28.37,30.24,99.47368421,19.48041,,
1/13/06 12:00:00 AM -08:00,30.01,31.9,30,31.9,22.97297297,23.06463,,
1/20/06 12:00:00 AM -08:00,31.4,32.48,31,31.74,-33.05785124,26.72853,,
1/27/06 12:00:00 AM -08:00,31.69,32.27,31.06,31.29,-59.13043478,30.13073,,
2/3/06 12:00:00 AM -08:00,31.24,31.47,30.32,30.56,46.15384615,30.96757,,
2/10/06 12:00:00 AM -08:00,30.43,32.18,29.84,31.51,85.67164179,32.41567,,
2/17/06 12:00:00 AM -08:00,31.2,34.52,31.17,34.07,-84.33179724,35.02956,,
2/24/06 12:00:00 AM -08:00,33.85,33.97,31.8,32.02,48.40425532,37.45673,,
3/3/06 12:00:00 AM -08:00,32.35,34.2,32.32,33.26,-30.39215686,39.79883,,77.25552
3/10/06 12:00:00 AM -08:00,33.3,33.54,32.52,32.99,86.20689655,41.97363,,71.42085
3/17/06 12:00:00 AM -08:00,32.91,34.2,32.75,34.16,-50,44.24214,66.62172,82.98216
3/24/06 12:00:00 AM -08:00,33.95,34.2,32.64,33.17,-3.937007874,46.09298,62.1534,82.47222
3/31/06 12:00:00 AM -08:00,32.95,33.27,32,32.9,23.71794872,46.42222,60.95271,79.19956
4/7/06 12:00:00 AM -07:00,33,34.45,32.89,33.37,-48.52941176,47.37936,62.31738,72.95357
4/13/06 12:00:00 AM -07:00,33.28,33.62,32.26,32.62,16.25615764,47.17061,58.78665,66.73788
4/21/06 12:00:00 AM -07:00,32.63,33.98,31.95,32.96,-32.45614035,47.19838,59.89594,67.16521
4/28/06 12:00:00 AM -07:00,32.84,33.39,32.25,32.47,72.61904762,47.22416,57.49416,60.75497
5/5/06 12:00:00 AM -07:00,32.65,33.9,32.22,33.87,-74.87179487,47.56298,62.16263,67.82007
5/12/06 12:00:00 AM -07:00,33.59,33.95,32,32.13,-3.921568627,47.46964,54.19561,49.74882
5/19/06 12:00:00 AM -07:00,32.12,33.05,30.5,32.02,52.27272727,45.12355,53.72681,43.84363
5/26/06 12:00:00 AM -07:00,31.85,33.05,31.73,32.54,13.51351351,42.94505,55.67859,34.19316
6/2/06 12:00:00 AM -07:00,32.3,32.5,31.76,32.4,-64.61988304,40.92215,55.0059,46.07597
6/9/06 12:00:00 AM -07:00,32.15,32.42,29,29.94,80.51948052,39.67285,44.7703,38.9982
6/16/06 12:00:00 AM -07:00,29.94,33.25,29.4,33.04,-28.16901408,37.65683,55.90553,46.49249
6/23/06 12:00:00 AM -07:00,33.06,34.04,32.62,32.66,-56.48148148,35.06431,54.45615,52.84404
6/30/06 12:00:00 AM -07:00,32.9,33.2,31.04,31.68,67.35751295,33.80637,50.7985,64.81966
7/7/06 12:00:00 AM -07:00,31.55,33.43,31.5,32.85,-93.30357143,32.42908,54.70966,65.57314
7/14/06 12:00:00 AM -07:00,32.85,32.95,30.71,30.76,-9.352517986,31.66578,47.453,54.82803
7/21/06 12:00:00 AM -07:00,30.78,32.76,29.98,30.52,77.61904762,31.39034,46.68719,47.15607
7/28/06 12:00:00 AM -07:00,30.48,32.58,30.48,32.11,32.95454545,31.13458,52.19184,42.26191
8/4/06 12:00:00 AM -07:00,31.86,33.06,31.3,32.44,56.02836879,30.3875,53.27026,53.373
8/11/06 12:00:00 AM -07:00,32.26,33.55,32.14,33.05,64.67236467,29.19542,55.27847,70.1058
8/18/06 12:00:00 AM -07:00,33.25,36.73,33.22,35.52,-6.060606061,28.46884,62.33655,77.65259
8/25/06 12:00:00 AM -07:00,35.27,35.48,34.82,35.23,84.45595855,27.79416,61.11695,81.7663
9/1/06 12:00:00 AM -07:00,34.9,36.73,34.8,36.53,-24.62686567,27.83852,64.47253,87.40443
9/8/06 12:00:00 AM -07:00,36.5,36.54,35.2,36.17,27.92207792,27.87971,62.85485,89.85675
9/15/06 12:00:00 AM -07:00,35.75,37.25,35.71,36.18,-33.08550186,28.28089,62.88272,91.41904
9/22/06 12:00:00 AM -07:00,36,36.84,34.15,35.11,68.34862385,27.28222,57.88039,82.51655
9/29/06 12:00:00 AM -07:00,35.2,37.11,34.93,36.69,61.11111111,26.51466,62.61028,82.71435
10/6/06 12:00:00 AM -07:00,36.84,38.14,36.7,37.72,82.69230769,26.37935,65.34258,85.90468
10/13/06 12:00:00 AM -07:00,37.57,39,37.44,38.86,35.86206897,26.68504,68.11944,95.16896
10/20/06 12:00:00 AM -07:00,38.86,39.72,38.27,39.38,-40,27.30254,69.32671,96.39059
10/27/06 12:00:00 AM -07:00,39.2,40.1,38.25,38.46,2.02020202,28.04628,64.66129,91.2386
11/3/06 12:00:00 AM -08:00,38.2,39.13,38.14,38.22,99.43820225,28.6251,63.46151,82.67781
11/10/06 12:00:00 AM -08:00,38.22,40,38.22,39.99,-12.5,29.56509,68.15457,83.40759
11/17/06 12:00:00 AM -08:00,40,40.85,39.01,39.77,-17.33333333,30.79128,67.00262,84.90213
11/24/06 12:00:00 AM -08:00,39.69,40.05,39.3,39.56,3.496503497,31.92988,65.85835,87.59274
12/1/06 12:00:00 AM -08:00,39.39,39.8,38.37,39.44,20.2020202,31.96707,65.1734,81.19405
12/8/06 12:00:00 AM -08:00,39.44,40.26,39.27,39.64,44.18604651,32.23942,65.8116,80.54727
12/15/06 12:00:00 AM -08:00,39.56,40.29,39.43,39.94,44.87179487,32.50814,66.79454,81.8413
12/22/06 12:00:00 AM -08:00,39.93,41.46,39.9,40.63,54.38596491,33.33619,69.00203,83.04391
12/29/06 12:00:00 AM -08:00,40.57,41.7,40.56,41.19,94.26229508,34.21368,70.70424,85.07319
1/5/07 12:00:00 AM -08:00,41.05,42.27,41.05,42.2,69.94535519,35.28112,73.52776,89.63209
1/12/07 12:00:00 AM -08:00,42.25,43.72,41.89,43.53,-67.1641791,36.8215,76.71089,94.30939
1/19/07 12:00:00 AM -08:00,43.35,43.49,41.48,42,-25.35211268,37.75865,66.76514,88.02522
1/26/07 12:00:00 AM -08:00,42.05,42.78,41.36,41.69,10.11904762,38.48228,64.92831,76.28714
2/2/07 12:00:00 AM -08:00,41.9,43.46,41.78,42.07,14.63414634,39.44114,66.15742,67.14178
2/9/07 12:00:00 AM -08:00,42.05,43,41.77,42.23,32.25806452,40.31829,66.6868,68.13308
