Date,Open,High,Low,Close,DS,ADX 14 14,Wilder's RSI 14,Stochastics 12 %K 3
12/2/05 12:00:00 AM -08:00,62.75,62.95,61.2,61.21,-66.96428571,,,
12/9/05 12:00:00 AM -08:00,61.6,62,59.76,60.1,52.20588235,7.142857,,
12/16/05 12:00:00 AM -08:00,60.15,61.35,59.99,60.86,-30.55555556,13.77551,,
12/23/05 12:00:00 AM -08:00,61.55,62,60.56,61.11,-87.17948718,15.02556,,
12/30/05 12:00:00 AM -08:00,61.12,61.2,60.03,60.1,80.52631579,17.32417,,
1/6/06 12:00:00 AM -08:00,61.07,62.95,61.05,62.6,-41.66666667,17.46566,,
1/13/06 12:00:00 AM -08:00,62.52,63.1,61.42,61.82,-26.98412698,17.82781,,
1/20/06 12:00:00 AM -08:00,61.31,62.62,60.73,60.8,-63.75,16.71546,,
1/27/06 12:00:00 AM -08:00,60.75,61.24,58.04,58.71,-76.87861272,18.35496,,
2/3/06 12:00:00 AM -08:00,58.71,58.75,57.02,57.38,29.08496732,20.49537,,
2/10/06 12:00:00 AM -08:00,57.5,59.71,56.65,58.39,48.93617021,21.13837,,
2/17/06 12:00:00 AM -08:00,58.38,59.45,58.04,59.07,-72.10526316,21.73544,,
2/24/06 12:00:00 AM -08:00,59.13,59.32,57.42,57.76,-43.36283186,22.72701,,
3/3/06 12:00:00 AM -08:00,57.96,58.55,57.42,57.47,96.07843137,23.64775,,22.4806
3/10/06 12:00:00 AM -08:00,57.57,59.04,57.51,59.04,70.71428571,23.78879,,22.32557
3/17/06 12:00:00 AM -08:00,59.35,60.4,59,60.34,-1.234567901,22.29991,47.44268,35.65892
3/24/06 12:00:00 AM -08:00,60.4,61.1,60.29,60.39,-63.43283582,21.1656,47.60853,50.74936
3/31/06 12:00:00 AM -08:00,60.07,60.4,59.06,59.22,-80.58252427,20.3115,44.10156,51.67959
4/7/06 12:00:00 AM -07:00,59.49,59.76,57.7,57.83,8.571428571,20.48363,40.30317,39.19833
4/13/06 12:00:00 AM -07:00,57.85,58.02,57.32,57.91,60.52631579,20.88009,40.62015,29.02048
4/21/06 12:00:00 AM -07:00,57.68,58.6,57.46,58.37,12.5,20.65567,42.51046,28.6227
4/28/06 12:00:00 AM -07:00,58.51,58.92,58.12,58.61,-1.298701299,20.13076,43.52071,36.71585
5/5/06 12:00:00 AM -07:00,58.71,58.96,58.19,58.7,13,19.60254,43.9187,39.73486
5/12/06 12:00:00 AM -07:00,58.7,59.25,58.25,58.83,47.69230769,18.80712,44.52677,40.16669
5/19/06 12:00:00 AM -07:00,58.97,60.79,58.84,59.9,78.90625,18.23816,49.39068,48.23639
5/26/06 12:00:00 AM -07:00,59.68,60.93,59.65,60.69,21.8487395,17.81892,52.68899,65.78488
6/2/06 12:00:00 AM -07:00,60.48,61.01,59.82,60.74,62.04819277,17.49491,52.89824,82.62791
6/9/06 12:00:00 AM -07:00,60.35,61.75,60.09,61.38,27.71084337,17.77709,55.60466,90.42587
6/16/06 12:00:00 AM -07:00,61.45,61.75,60.92,61.68,-25.92592593,18.03912,56.85609,93.51467
6/23/06 12:00:00 AM -07:00,61.6,62,60.92,61.32,23.1884058,18.482,54.85773,91.84594
6/30/06 12:00:00 AM -07:00,59.6,60.35,58.97,59.92,45.79439252,17.47194,47.81884,79.81516
7/7/06 12:00:00 AM -07:00,60.13,60.87,59.8,60.62,-42.85714286,16.37573,51.19109,70.2097
7/14/06 12:00:00 AM -07:00,60.85,61.06,60.15,60.46,51.08225108,15.52423,50.3895,61.82277
7/21/06 12:00:00 AM -07:00,60.55,61.99,59.68,61.73,82.78145695,15.49443,56.24608,74.27538
7/28/06 12:00:00 AM -07:00,61.67,63,61.49,62.92,60.9929078,16.16622,60.90341,83.84613
8/4/06 12:00:00 AM -07:00,62.67,63.7,62.29,63.53,28.94736842,17.21527,63.07325,95.91038
8/11/06 12:00:00 AM -07:00,63.25,63.79,63.03,63.47,46.53465347,18.24302,62.70464,96.05959
8/18/06 12:00:00 AM -07:00,63.95,64.75,63.74,64.42,30.07518797,19.73908,66.08453,94.71788
8/25/06 12:00:00 AM -07:00,64.27,65.13,63.8,64.67,-11.86440678,21.32433,66.93378,93.3947
