Date,Open,High,Low,Close,DS,ADX 14 14,Wilder's RSI 14,Stochastics 12 %K 3
12/2/05 12:00:00 AM -08:00,39,39.18,38.22,38.99,29.59183673,,,
12/9/05 12:00:00 AM -08:00,38.83,39.3,38.32,39.12,65.65656566,7.142857,,
12/16/05 12:00:00 AM -08:00,39.14,39.88,38.89,39.79,49,13.77551,,
12/23/05 12:00:00 AM -08:00,39.71,40.42,39.42,40.2,-65.74074074,19.9344,,
12/30/05 12:00:00 AM -08:00,40.4,40.56,39.48,39.69,17.9245283,25.65337,,
1/6/06 12:00:00 AM -08:00,39.83,40.36,39.3,40.02,3.278688525,29.02929,,
1/13/06 12:00:00 AM -08:00,39.88,40.87,39.65,39.92,-73.71134021,32.72971,,
1/20/06 12:00:00 AM -08:00,39.48,39.82,37.88,38.05,77.77777778,31.36275,,
1/27/06 12:00:00 AM -08:00,38.14,40.04,37.97,39.75,1.219512195,29.56336,,
2/3/06 12:00:00 AM -08:00,39.52,40.22,39.4,39.53,53.06122449,27.47973,,
2/10/06 12:00:00 AM -08:00,39.4,40.03,39.05,39.92,83.47107438,26.27288,,
2/17/06 12:00:00 AM -08:00,39.77,40.82,39.61,40.78,80.46875,25.21347,,
2/24/06 12:00:00 AM -08:00,40.63,41.83,40.55,41.66,3.571428571,25.59106,,
3/3/06 12:00:00 AM -08:00,41.55,42.09,40.97,41.59,-37.23404255,26.22118,,93.60321
3/10/06 12:00:00 AM -08:00,41.48,41.81,40.87,41.13,-9.090909091,26.58748,,87.00561
3/17/06 12:00:00 AM -08:00,41.45,41.53,40.98,41.4,55.24475524,26.92763,63.58511,82.97705
3/24/06 12:00:00 AM -08:00,41.31,42.43,41,42.1,-20.18348624,28.18576,66.43752,84.51829
3/31/06 12:00:00 AM -08:00,41.86,42.21,41.12,41.64,-21.55172414,29.35402,62.94804,86.33167
4/7/06 12:00:00 AM -07:00,41.95,42.66,41.5,41.7,27.65957447,30.83599,63.21941,85.10029
4/13/06 12:00:00 AM -07:00,41.93,42.42,41.48,42.19,18.96551724,32.1609,65.44512,84.17744
4/21/06 12:00:00 AM -07:00,42.28,42.99,41.83,42.5,75.72559367,33.85337,66.81338,85.81947
4/28/06 12:00:00 AM -07:00,42.51,45.9,42.11,45.38,61.352657,36.72643,76.2301,89.9836
5/5/06 12:00:00 AM -07:00,45.38,46.8,44.73,46.65,-95.39748954,39.61808,79.05277,92.62865
5/12/06 12:00:00 AM -07:00,46.6,46.65,44.26,44.32,-68.69565217,41.49757,64.02992,83.54752
5/19/06 12:00:00 AM -07:00,44.33,44.8,42.5,42.75,26.81564246,40.82209,56.27028,63.31234
5/26/06 12:00:00 AM -07:00,42.75,43.38,41.59,43.23,44.82758621,39.23179,57.94819,43.94029
6/2/06 12:00:00 AM -07:00,42.9,44.2,42.17,43.81,-58.20895522,38.27955,59.94801,40.04211
6/9/06 12:00:00 AM -07:00,43.66,43.93,41.25,42.1,-66.89655172,36.51194,52.08371,35.7962
6/16/06 12:00:00 AM -07:00,42.1,42.23,39.33,40.16,36.45833333,34.4039,44.88899,26.23402
6/23/06 12:00:00 AM -07:00,40.17,41.67,39.75,40.87,55.88235294,32.44644,47.73455,16.89745
6/30/06 12:00:00 AM -07:00,40.67,42.99,40.61,42,41.37931034,30.59207,51.9839,22.48994
7/7/06 12:00:00 AM -07:00,42.05,42.87,42,42.41,-62.97709924,28.87016,53.46233,32.5301
7/14/06 12:00:00 AM -07:00,42.54,43.23,40.61,40.89,76.22149837,27.35928,47.60965,32.61935
7/21/06 12:00:00 AM -07:00,40.81,43.47,40.4,43.15,94.97716895,25.77012,55.42346,37.751
7/28/06 12:00:00 AM -07:00,43.4,45.54,43.35,45.48,1.418439716,24.9423,61.75636,52.01259
8/4/06 12:00:00 AM -07:00,45.1,46.1,44.69,45.12,-48.1981982,24.48474,60.33021,73.55954
8/11/06 12:00:00 AM -07:00,45,45.72,43.5,43.93,70.5,23.17873,55.74738,79.16252
8/18/06 12:00:00 AM -07:00,44.3,45.71,43.71,45.71,12.79069767,21.96601,60.57199,82.57017
8/25/06 12:00:00 AM -07:00,45.41,45.97,45.11,45.52,43.42105263,21.01206,59.82227,84.53965
9/1/06 12:00:00 AM -07:00,45.4,46.07,45.31,45.73,-27.73722628,20.19498,60.40559,93.40228
9/8/06 12:00:00 AM -07:00,45.64,46.05,44.68,45.26,60.98654709,18.9144,58.36322,90.91306
9/15/06 12:00:00 AM -07:00,45.59,47.35,45.12,46.95,9.448818898,18.62618,63.18351,91.85033
9/22/06 12:00:00 AM -07:00,46.7,47.49,46.22,46.82,-14.01869159,18.44821,62.58331,90.52211
9/29/06 12:00:00 AM -07:00,47.11,47.46,46.39,46.96,-8.474576271,18.28296,62.99103,92.43977
10/6/06 12:00:00 AM -07:00,46.96,47.92,46.74,46.86,69.14893617,18.44821,62.46742,89.65965
10/13/06 12:00:00 AM -07:00,46.86,48.57,46.69,48.16,-46.73913043,19.02645,66.37997,90.19151
10/20/06 12:00:00 AM -07:00,47.98,48.21,46.37,47.12,38.33333333,19.21817,60.90965,83.15009
10/27/06 12:00:00 AM -07:00,46.83,47.95,46.75,47.29,-28.48101266,19.3962,61.46863,79.43315
11/3/06 12:00:00 AM -08:00,47.34,48.08,46.5,46.89,45.26315789,19.27074,59.31925,70.52865
11/10/06 12:00:00 AM -08:00,47.18,48,47.05,47.61,26,19.15424,61.90164,71.83564
11/17/06 12:00:00 AM -08:00,47.4,47.99,46.99,47.66,-44.82758621,18.96856,62.08165,72.45338
11/24/06 12:00:00 AM -08:00,47.66,48.05,47.18,47.27,-64.57142857,18.85476,59.71172,72.83634
12/1/06 12:00:00 AM -08:00,47.14,47.26,45.51,46.01,35.82089552,18.17586,52.71066,56.32825
12/8/06 12:00:00 AM -08:00,46.28,47.5,46.16,46.76,82.05128205,17.27957,56.01641,44.40924
12/15/06 12:00:00 AM -08:00,46.7,48.65,46.7,48.3,-30.37037037,16.7706,61.90508,51.83339
12/22/06 12:00:00 AM -08:00,48.3,48.97,47.62,47.89,27.11864407,16.573,59.61663,66.16306
12/29/06 12:00:00 AM -08:00,47.98,49,47.82,48.3,-21.875,16.41599,61.16277,79.19408
1/5/07 12:00:00 AM -08:00,48,48.55,47.59,47.79,38.18181818,15.98958,58.17889,71.35278
1/12/07 12:00:00 AM -08:00,47.57,48.42,47.32,47.99,61.8556701,15.26534,59.02316,72.11082
1/19/07 12:00:00 AM -08:00,48.16,48.89,47.92,48.76,41.91919192,15.07949,62.18803,76.50432
1/26/07 12:00:00 AM -08:00,48.87,50.68,48.7,49.7,61.26126126,16.33474,65.67357,81.74263
2/2/07 12:00:00 AM -08:00,49.57,51.33,49.11,50.93,-31.4516129,17.89552,69.61988,89.09827
2/9/07 12:00:00 AM -08:00,50.81,51.32,50.08,50.42,50.76923077,19.34482,66.22045,86.17861
2/16/07 12:00:00 AM -08:00,50.59,51.55,50.25,51.25,-9.756097561,20.8346,68.88336,90.84148
2/23/07 12:00:00 AM -08:00,51.15,51.95,50.72,51.03,-78.0104712,22.46385,67.36742,87.83595
3/2/07 12:00:00 AM -08:00,51.17,51.42,47.6,48.19,56.74418605,21.08615,51.58506,69.17485
3/9/07 12:00:00 AM -08:00,47.6,49.35,47.2,48.82,-52.44299674,20.10469,54.15107,48.86555
3/16/07 12:00:00 AM -08:00,48.64,48.98,45.91,47.03,53.01204819,20.05441,46.59471,27.00973
3/23/07 12:00:00 AM -08:00,47.2,49.65,47.16,48.52,-13.82113821,19.42916,52.53244,31.9534
3/30/07 12:00:00 AM -08:00,48.55,49.02,47.79,48.38,32.77310924,18.84858,51.94802,34.21634
4/5/07 12:00:00 AM -07:00,48.38,48.89,47.7,48.77,36.04651163,18.37572,53.49997,43.81899
4/13/07 12:00:00 AM -07:00,48.78,49.52,48.66,49.09,90.56047198,17.35085,54.7902,46.96468
4/20/07 12:00:00 AM -07:00,49.47,52.71,49.32,52.54,14.81481481,17.94102,65.80608,65.83334
4/27/07 12:00:00 AM -07:00,52.35,53,51.65,52.55,11.64383562,18.63323,65.83206,81.26735
5/4/07 12:00:00 AM -07:00,52.46,53.06,51.6,52.63,-43.1372549,19.30707,66.05434,95.04635
