Date,Open,High,Low,Close,DS,ADX 14 14,Wilder's RSI 14,Stochastics 12 %K 3
12/2/05 12:00:00 AM -08:00,32.07,32.46,31.75,31.87,-81.89655172,,,
12/9/05 12:00:00 AM -08:00,32.03,32.22,31.06,31.08,-78.66666667,7.142857,,
12/16/05 12:00:00 AM -08:00,31.08,31.1,30.35,30.49,5.357142857,13.77551,,
12/23/05 12:00:00 AM -08:00,30.45,30.8,30.24,30.48,-58.20895522,19.9344,,
12/30/05 12:00:00 AM -08:00,30.51,30.67,30,30.12,61.4973262,25.65337,,
1/6/06 12:00:00 AM -08:00,30.2,31.91,30.04,31.35,70.53571429,24.25176,,
1/13/06 12:00:00 AM -08:00,31.39,32.33,31.21,32.18,-79.67479675,23.19681,,
1/20/06 12:00:00 AM -08:00,31.92,32.07,30.84,30.94,83.84615385,21.81575,,
1/27/06 12:00:00 AM -08:00,31.05,32.15,30.85,32.14,-62.74509804,20.32859,,
2/3/06 12:00:00 AM -08:00,32.25,32.27,31.25,31.61,80.32786885,19.11332,,
2/10/06 12:00:00 AM -08:00,31.71,33.18,31.35,33.18,94.73684211,19.76978,,
2/17/06 12:00:00 AM -08:00,32.98,34.8,32.9,34.78,-75,22.07615,,
2/24/06 12:00:00 AM -08:00,34.83,34.99,33.63,33.81,-38.18181818,24.35532,,
3/3/06 12:00:00 AM -08:00,34,34.61,33.51,33.58,45.79439252,26.17919,,82.55984
3/10/06 12:00:00 AM -08:00,33.7,34.24,33.17,34.19,3.703703704,27.0692,,77.3547
3/17/06 12:00:00 AM -08:00,34.38,34.83,34.02,34.41,41.33333333,28.43478,60.60101,81.3627
3/24/06 12:00:00 AM -08:00,34.35,35,33.5,34.97,-79.8245614,28.61113,62.48931,90.57993
3/31/06 12:00:00 AM -08:00,34.97,35.17,34.03,34.06,-37.39837398,28.9501,57.6537,87.37896
4/7/06 12:00:00 AM -07:00,34.25,34.72,33.49,33.79,-60.37735849,28.23333,56.26255,80.62984
4/13/06 12:00:00 AM -07:00,33.77,33.89,32.3,32.81,-23.95833333,26.60222,51.41338,62.62159
4/21/06 12:00:00 AM -07:00,32.75,33.38,32.42,32.52,46.08695652,25.08761,50.03897,48.6326
4/28/06 12:00:00 AM -07:00,32.5,33.41,32.26,33.03,-3.703703704,23.88997,52.44652,40.58248
5/5/06 12:00:00 AM -07:00,33.05,33.24,32.43,33.02,-83.22981366,22.77788,52.39322,34.16465
5/12/06 12:00:00 AM -07:00,33.13,33.25,31.64,31.79,-42.01183432,22.72964,46.17565,24.78176
5/19/06 12:00:00 AM -07:00,31.61,31.79,30.1,30.9,78.40909091,24.01959,42.26707,15.38178
5/26/06 12:00:00 AM -07:00,30.8,31.57,30.69,31.49,42.85714286,25.21739,45.55705,15.81487
6/2/06 12:00:00 AM -07:00,31.31,32.23,30.76,31.94,-30.23255814,25.25834,47.99144,26.49573
6/9/06 12:00:00 AM -07:00,31.76,32.15,31.29,31.5,64.70588235,25.29636,45.83342,30.44051
6/16/06 12:00:00 AM -07:00,31.66,32.63,31.27,32.54,25.98425197,24.59089,51.39661,37.34387
6/23/06 12:00:00 AM -07:00,32.5,33.23,31.96,32.83,54.16666667,23.11222,52.85078,44.94353
6/30/06 12:00:00 AM -07:00,32.84,33.62,32.42,33.49,-77.96610169,21.66852,56.07201,65.55439
7/7/06 12:00:00 AM -07:00,33.63,33.75,32.57,32.71,-79.375,20.48694,51.58643,73.34791
7/14/06 12:00:00 AM -07:00,32.89,33.14,31.54,31.62,14.81481481,19.8859,46.04332,67.53221
7/21/06 12:00:00 AM -07:00,31.71,32.44,31.36,31.87,84.80392157,19.51538,47.43835,53.88128
7/28/06 12:00:00 AM -07:00,32,33.96,31.92,33.73,0,18.8216,56.45829,61.39283
8/4/06 12:00:00 AM -07:00,33.77,34.03,32.6,33.77,20.66115702,18.24491,56.63066,78.63963
8/11/06 12:00:00 AM -07:00,33.82,34.39,33.18,34.07,34.21052632,18.05924,57.97436,92.92569
8/18/06 12:00:00 AM -07:00,34.16,34.51,33.75,34.42,50.63291139,18.00323,59.549,94.11187
8/25/06 12:00:00 AM -07:00,34.3,34.87,34.08,34.7,83.76068376,18.29834,60.81396,94.74306
9/1/06 12:00:00 AM -07:00,34.59,35.75,34.58,35.57,-24.13793103,19.31729,64.5259,96.28665
9/8/06 12:00:00 AM -07:00,35.54,35.66,35.08,35.4,52.56410256,20.26345,63.26482,94.42911
9/15/06 12:00:00 AM -07:00,35.4,36.09,35.31,35.81,77.40112994,21.48184,65.03947,94.02995
9/22/06 12:00:00 AM -07:00,35.73,37.37,35.6,37.1,-13.125,23.43895,69.95714,93.87173
9/29/06 12:00:00 AM -07:00,37.34,38,36.4,37.13,-31.00775194,25.58144,70.06261,92.16181
10/6/06 12:00:00 AM -07:00,37.2,37.83,36.54,36.8,89.74358974,27.5709,67.26529,88.11092
10/13/06 12:00:00 AM -07:00,36,37.17,36,37.05,49.34210526,28.52692,68.29794,84.40009
10/20/06 12:00:00 AM -07:00,37.05,37.85,36.33,37.8,84.55284553,29.8336,71.23009,87.53299
10/27/06 12:00:00 AM -07:00,37.8,38.91,37.68,38.84,-75.63636364,31.58986,74.72156,93.14988
11/3/06 12:00:00 AM -08:00,38.78,38.95,36.2,36.7,-74.45652174,31.26955,58.88565,83.93514
11/10/06 12:00:00 AM -08:00,36.96,37.11,35.27,35.59,55.67010309,30.00151,52.65247,62.17176
11/17/06 12:00:00 AM -08:00,35.5,36.47,35.5,36.04,-9.210526316,28.82404,54.74393,40.38217
11/24/06 12:00:00 AM -08:00,34.82,35.36,34.6,34.75,-8.661417323,26.86201,48.17443,22.62135
12/1/06 12:00:00 AM -08:00,34.75,35.27,34,34.64,54.34782609,25.36354,47.64933,16.59573
12/8/06 12:00:00 AM -08:00,34.81,35.35,34.43,35.31,88.28828829,23.89533,51.14253,14.28075
12/15/06 12:00:00 AM -08:00,35.5,36.51,35.4,36.48,-9.259259259,22.86939,56.58989,29.83165
12/22/06 12:00:00 AM -08:00,36.6,36.9,36.36,36.55,62.93103448,22.22176,56.89951,42.6936
12/29/06 12:00:00 AM -08:00,36.51,37.64,36.48,37.24,-21.36752137,22.16201,59.93316,55.69023
1/5/07 12:00:00 AM -08:00,37.63,38.49,37.32,37.38,37.62376238,22.65761,60.54004,61.75084
1/12/07 12:00:00 AM -08:00,36.95,37.49,36.48,37.33,-15.09433962,22.24576,60.1894,67.00339
1/19/07 12:00:00 AM -08:00,37.41,37.66,36.6,37.25,58.53658537,21.98321,59.59464,67.07072
1/26/07 12:00:00 AM -08:00,37.11,38.23,37,37.83,50,22.13472,62.48865,72.74332
2/2/07 12:00:00 AM -08:00,37.42,38.77,37.27,38.17,-31.37254902,22.62693,64.11138,79.45952
2/9/07 12:00:00 AM -08:00,38.02,38.39,37.37,37.7,57.97101449,23.08399,60.23238,83.43005
2/16/07 12:00:00 AM -08:00,37.7,38.76,37.38,38.5,-19.44444444,23.75682,64.20261,86.44303
2/23/07 12:00:00 AM -08:00,38.55,38.62,37.9,38.41,-67.12328767,24.38159,63.43532,87.87094
3/2/07 12:00:00 AM -08:00,38.44,38.75,35.83,36.48,13.1147541,22.67845,49.71439,72.69736
3/9/07 12:00:00 AM -08:00,36.29,36.82,35.6,36.45,-12.74509804,21.22165,49.53504,50.1888
3/16/07 12:00:00 AM -08:00,36.45,36.84,35.82,36.32,79.14691943,19.84977,48.71487,27.19144
3/23/07 12:00:00 AM -08:00,36.45,38.53,36.42,38.12,-10.78431373,19.69107,58.86952,43.00737
3/30/07 12:00:00 AM -08:00,38.03,38.09,37.07,37.92,1.19047619,19.5437,57.50701,58.46475
4/5/07 12:00:00 AM -07:00,37.99,38.25,37.41,38,-52.10084034,19.52868,57.92649,76.13036
4/13/07 12:00:00 AM -07:00,38.01,38.19,37,37.39,35.8974359,19.05404,53.58304,68.45424
4/20/07 12:00:00 AM -07:00,37.49,38.37,37.2,37.91,-1.219512195,18.76835,56.57242,68.34911
4/27/07 12:00:00 AM -07:00,37.9,38.19,37.37,37.89,65.31165312,18.50306,56.42191,67.26864
5/4/07 12:00:00 AM -07:00,38.25,41.38,37.69,40.66,80.80808081,20.3117,68.80192,77.62743
5/11/07 12:00:00 AM -07:00,40.55,41.35,40.36,41.35,80.625,21.99116,71.01112,86.49751
5/18/07 12:00:00 AM -07:00,41.3,42.87,41.27,42.59,0,24.18325,74.50511,94.39091
5/25/07 12:00:00 AM -07:00,42.5,43.03,42.28,42.5,30.4964539,26.27811,73.80975,96.16543
6/1/07 12:00:00 AM -07:00,42.58,43.99,42.58,43.01,-3.921568627,28.56168,75.22104,92.34007
6/8/07 12:00:00 AM -07:00,43.11,43.4,42.38,43.07,3.571428571,30.42951,75.38907,89.57279
6/15/07 12:00:00 AM -07:00,42.95,43.61,42.49,42.99,-74.85380117,32.24367,74.66212,87.18182
6/22/07 12:00:00 AM -07:00,42.91,43.17,41.46,41.63,-29.55974843,32.64601,63.45918,79.92603
6/29/07 12:00:00 AM -07:00,41.64,42.14,40.55,41.17,13.82113821,32.04679,60.17049,70.52931
7/6/07 12:00:00 AM -07:00,41.38,42.4,41.17,41.55,3.571428571,31.64997,61.92585,63.31962
7/13/07 12:00:00 AM -07:00,41.68,42.27,40.03,41.76,-3.947368421,30.1769,62.89897,63.34518
7/20/07 12:00:00 AM -07:00,42.34,43.12,41.6,42.28,-23.80952381,29.37716,65.26629,67.74535
7/27/07 12:00:00 AM -07:00,42.45,43.83,41.94,42,27.57575758,29.06526,62.93756,62.97292
8/3/07 12:00:00 AM -07:00,41.84,44.1,40.8,42.75,-47.26027397,27.7575,66.39622,63.14503
8/10/07 12:00:00 AM -07:00,42.71,43.69,40.77,41.33,-36.996337,26.51768,55.7822,49.50636
8/17/07 12:00:00 AM -07:00,41.81,42,39.27,40.8,95.85492228,25.04623,52.41429,43.48287
8/24/07 12:00:00 AM -07:00,40.79,42.68,40.75,42.64,-40.55944056,23.34371,61.17767,44.46346
8/31/07 12:00:00 AM -07:00,42.46,42.93,41.5,41.88,-34.23913043,21.94595,56.54561,51.82886
9/7/07 12:00:00 AM -07:00,41.97,42.89,41.05,41.34,51.8134715,20.46382,53.44901,55.55557
9/14/07 12:00:00 AM -07:00,41.52,42.88,40.95,42.52,83.92857143,19.16753,58.76328,54.72742
9/21/07 12:00:00 AM -07:00,42.5,44.66,42.42,44.38,3.333333333,18.93742,65.4573,68.31673
9/28/07 12:00:00 AM -07:00,44.25,44.75,43.85,44.28,60.8,18.78153,64.84779,84.50546
10/5/07 12:00:00 AM -07:00,44.46,45.64,44.39,45.22,31.72413793,19.1896,67.8758,93.21172
10/12/07 12:00:00 AM -07:00,45.07,46.24,44.79,45.53,-70.11494253,19.90955,68.8294,91.5478
10/19/07 12:00:00 AM -07:00,45.49,45.75,44.01,44.27,78.94736842,19.82716,60.91444,84.98536
